Ref,Topic En,Topic He,Slug
Bava Kamma 67a:10,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 68a:5-21,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 68a:14-68b:1,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 68b:1,Laws of the Impurity of Treading,דיני טומאת מדרס,laws-of-the-impurity-of-treading
Bava Kamma 68b:6,Laws of Kidnapping,דיני גנבת נפש,laws-of-kidnapping
Bava Kamma 68b:7-9,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 68b:10-13,Laws of Hekdesh and Cherem,דיני הקדש וחרם,laws-of-hekdesh-and-cherem
Bava Kamma 68b:13,Laws of Societal Responsibility,דיני אחריות חברתית,laws-of-societal-responsibility
Bava Kamma 68b:13,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 68b:14,Hilchot Neta Revai Veorlah,הלכות נטע רבעי וערלה,hilchot-neta-revai-veorlah
Bava Kamma 68b:18,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 69a,Procedures for Judges and Conduct towards Them,הנחיות לדיינים והיחס אליהם,procedures-for-judges-and-conduct-towards-them
Bava Kamma 69a:1,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 69a:4-5,Hilchot Neta Revai Veorlah,הלכות נטע רבעי וערלה,hilchot-neta-revai-veorlah
Bava Kamma 69a:6,Laws of Impurity of Tombs and Burial,דיני טומאת קברים וקבורה,laws-of-impurity-of-tombs-and-burial
Bava Kamma 69a:7-9,Hilchot Neta Revai Veorlah,הלכות נטע רבעי וערלה,hilchot-neta-revai-veorlah
Bava Kamma 69b:2,Chiuv Ma'aserot,חיוב מעשרות,chiuv-maaserot
Bava Kamma 69b:5,Laws of Selling Ancestral Fields,דיני מכירת שדה אחוזה,laws-of-selling-ancestral-fields
Bava Kamma 69b:14,Dinei Ma'aser Sheni,דיני מעשר שני,dinei-maaser-sheni
Bava Kamma 70a:2-8,Laws of Agents,דיני שלוחים,laws-of-agents
Bava Kamma 70a:4,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 70a:9-13,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 70b:7-9,Laws of Acceptance of Testimony,דיני קבלת העדות,laws-of-acceptance-of-testimony
Bava Kamma 70b:13-16,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 70b:17,Laws of Animal Sacrifices,הלכות קרבנות מן החי,laws-of-animal-sacrifices
Bava Kamma 71a:2,Laws of Court Punishments,דיני עונשי בית הדין,laws-of-court-punishments
Bava Kamma 71a:2,Laws of Rape and Seduction,דיני אונס ומפתה,laws-of-rape-and-seduction
Bava Kamma 71a:2,Laws of Eating the Priestly Tithe,דיני אכילת התרומה,laws-of-eating-the-priestly-tithe
Bava Kamma 71a:2,Injury Law,דיני חובל,injury-law
Bava Kamma 71a:2-13,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 71a:13,Commandments Pertaining to Slaughter,מצוות הקשורות לשחיטה,commandments-pertaining-to-slaughter
Bava Kamma 71a:14,Laws of Slaughter,הלכות שחיטה,laws-of-slaughter
Bava Kamma 71a:16-22,Rabbinical Shabbat Prohibitions,איסורים מדברי חכמים,rabbinical-shabbat-prohibitions
Bava Kamma 71a:16-22,Laws of Work Done on Shabbat,דיני מלאכה שנעשית בשבת,laws-of-work-done-on-shabbat
Bava Kamma 71b:19-72a:8,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 72a:8,Laws of Slaughter,הלכות שחיטה,laws-of-slaughter
Bava Kamma 72b:4-7,Laws of False Witnesses and Colluding Witnesses,דיני עדי שקר ועדים זוממים,laws-of-false-witnesses-and-colluding-witnesses
Bava Kamma 72b:8,Laws of Those Disqualified from Testimony,דיני פסולי עדות,laws-of-those-disqualified-from-testimony
Bava Kamma 73a:15-17,Laws of False Witnesses and Colluding Witnesses,דיני עדי שקר ועדים זוממים,laws-of-false-witnesses-and-colluding-witnesses
Bava Kamma 73a:17,Tearing,קריעה,tearing
Bava Kamma 73a:17,Laws of Annulling Vows,דיני הפרת נדרים,laws-of-annulling-vows
Bava Kamma 73a:17,Order of Inheritance,סדר הירושה,order-of-inheritance
Bava Kamma 73a:17,Types of Oaths and their Specifications,מיני השבועות וגדריהן,types-of-oaths-and-their-specifications
Bava Kamma 73a:17-73b:5,Laws of Substitution of Offerings,דיני תמורה,laws-of-substitution-of-offerings
Bava Kamma 73b:6,Types of Oaths and their Specifications,מיני השבועות וגדריהן,types-of-oaths-and-their-specifications
Bava Kamma 73b:6-74a:6,Laws of False Witnesses and Colluding Witnesses,דיני עדי שקר ועדים זוממים,laws-of-false-witnesses-and-colluding-witnesses
Bava Kamma 74b:2,Laws of Canaanite Gentile Slaves,דיני עבד כנעני,laws-of-canaanite-gentile-slaves
Bava Kamma 74b:2,Injury Law,דיני חובל,injury-law
Bava Kamma 74b:9,Laws of Court Punishments,דיני עונשי בית הדין,laws-of-court-punishments
Bava Kamma 74b:13-18,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 74b:19-20,Workers,פועל,workers
Bava Kamma 74b:19-20,Rabban Gamliel,רבן גמליאל,rabban-gamliel
Bava Kamma 74b:22,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 75a,Laws of [Courts and] Judges,הלכות שופטים,laws-of-courts-and-judges
Bava Kamma 75a:14-17,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 75b:8-21,Laws of False Witnesses and Colluding Witnesses,דיני עדי שקר ועדים זוממים,laws-of-false-witnesses-and-colluding-witnesses
Bava Kamma 75b:21,Laws of Intentional (Premeditated) Murder,דיני רוצח במזיד,laws-of-intentional-(premeditated)-murder
Bava Kamma 76a:14-77b:6,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 77b:15,Laws of Animal Sacrifices,הלכות קרבנות מן החי,laws-of-animal-sacrifices
Bava Kamma 78a:4,Laws of the Animal Tithe,דיני מעשר בהמה,laws-of-the-animal-tithe
Bava Kamma 78a:6,Laws of Animal Firstlings,דיני בכור בהמה,laws-of-animal-firstlings
Bava Kamma 78a:7,Additional Gifts to the Priesthood,מתנות כהונה נוספות,additional-gifts-to-the-priesthood
Bava Kamma 78b:2-4,Laws of Sacrifice Obligations,דיני ההתחייבות בקרבנות,laws-of-sacrifice-obligations
Bava Kamma 78b:6-79a:9,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 79a:2,Laws of Misappropriation of Items Sanctified for Temple Maintenance,דיני מעילה בקדשי בדק הבית,laws-of-misappropriation-of-items-sanctified-for-temple-maintenance
Bava Kamma 79a:13-79b:1,Laws of Guardianship,דיני שומרים,laws-of-guardianship
Bava Kamma 79a:14-79b:1,Laws of the Methods of Acquisition,דיני דרכי הקניין,laws-of-the-methods-of-acquisition
Bava Kamma 79b:2-4,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 79b:4,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 79b:9,"Theft, Robbery and Murder","גְּנֵבָה, גְּזֵלָה וּשְׁפִיכוּת דָּמִים",theft-robbery-and-murder
Bava Kamma 79b:10,Work,עֲבוֹדָה,work
Bava Kamma 79b:11,Human Dignity,כבוד אנושי,human-dignity
Bava Kamma 79b:12-14,Laws of Damages from Animals,דיני נזקי הבהמה,laws-of-damages-from-animals
Bava Kamma 79b:12-16,Rabbinic Ordinances,תקנות,rabbinic-ordinances
Bava Kamma 79b:13,Laws of the Sanctity of the Temple,הלכות קדושת המקדש,laws-of-the-sanctity-of-the-temple
Bava Kamma 79b:14,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 79b:16,High Court Authority and Insubordination to It,סמכות בית הדין הגדול וההמראה בו,high-court-authority-and-insubordination-to-it
Bava Kamma 79b:18-80a:3,Laws of Damages from Animals,דיני נזקי הבהמה,laws-of-damages-from-animals
Bava Kamma 80a:4-6,Rabbinic Ordinances,תקנות,rabbinic-ordinances
Bava Kamma 80a:8,Laws of Damages from Animals,דיני נזקי הבהמה,laws-of-damages-from-animals
Bava Kamma 80a:9-10,Intention and Interpretation of Vows,כוונה ופרשנות בנדרים,intention-and-interpretation-of-vows
Bava Kamma 80a:11,Rabbinic Ordinances,תקנות,rabbinic-ordinances
Bava Kamma 80a:11-14,Laws of Damages from Animals,דיני נזקי הבהמה,laws-of-damages-from-animals
Bava Kamma 80b:2,Rav,רב (שם אמורא),rav
Bava Kamma 80b:3-5,Laws of Lost Objects,דיני אבדה,laws-of-lost-objects
Bava Kamma 80b:10,Settling the Land of Israel,יישוב ארץ ישראל,settling-the-land-of-israel
Bava Kamma 80b:10-12,Laws of Fasts,הלכות תעניות,laws-of-fasts
Bava Kamma 80b:11,Society,חברה (סביבה אנושית),society
Bava Kamma 80b:14-15,Laws of Work Done on Shabbat,דיני מלאכה שנעשית בשבת,laws-of-work-done-on-shabbat
Bava Kamma 80b:16,Laws of Mutual Obligations of Neighbors,דיני התחייבויות הדדיות בין שכנים,laws-of-mutual-obligations-of-neighbors
Bava Kamma 80b:17,Joshua,יהושע,joshua
Bava Kamma 80b:17,Laws of Ownerless Property,דיני הפקר,laws-of-ownerless-property
Bava Kamma 80b:17,Laws of Damages from Animals,דיני נזקי הבהמה,laws-of-damages-from-animals
Bava Kamma 81a,Laws of [Courts and] Judges,הלכות שופטים,laws-of-courts-and-judges
Bava Kamma 81a:1-2,Joshua,יהושע,joshua
Bava Kamma 81a:3-5,Laws of Damages from Animals,דיני נזקי הבהמה,laws-of-damages-from-animals
Bava Kamma 81a:6-8,Laws of Forbidden Mixtures of Seeds and Trees,הלכות כלאי זרעים ואילנות,laws-of-forbidden-mixtures-of-seeds-and-trees
Bava Kamma 81a:9-81b:19,Laws of Damages from Animals,דיני נזקי הבהמה,laws-of-damages-from-animals
Bava Kamma 81b:7,Rabbinically Forbidden Activities on Shabbat,איסורים מדברי חכמים בשבת,rabbinically-forbidden-activities-on-shabbat
Bava Kamma 81b:7,Laws of Reaping on Shabbat,דיני קוצר בשבת,laws-of-reaping-on-shabbat
Bava Kamma 81b:7,Laws of Sewing on Shabbat,דיני תופר בשבת,laws-of-sewing-on-shabbat
Bava Kamma 81b:7,Laws of Trapping on Shabbat,דיני צד בשבת,laws-of-trapping-on-shabbat
Bava Kamma 81b:7,Laws of Final Touches on Shabbat,דיני מכה בפטיש בשבת,laws-of-final-touches-on-shabbat
Bava Kamma 81b:14,Laws of Intentional (Premeditated) Murder,דיני רוצח במזיד,laws-of-intentional-(premeditated)-murder
Bava Kamma 81b:16-18,Laws of Impurity of Tombs and Burial,דיני טומאת קברים וקבורה,laws-of-impurity-of-tombs-and-burial
Bava Kamma 81b:16-18,Laws of Mourning,דיני אבלות,laws-of-mourning
Bava Kamma 82a,Laws of Judges and Courts,הלכות בתי הדין והדיינים,laws-of-judges-and-courts
Bava Kamma 82a,Procedures for Judges and Conduct towards Them,הנחיות לדיינים והיחס אליהם,procedures-for-judges-and-conduct-towards-them
Bava Kamma 82a:1,Dinei Bikkurim,דיני ביכורים,dinei-bikkurim
Bava Kamma 82a:3,Laws of Immersion,דיני הטבילה,laws-of-immersion
Bava Kamma 82a:5-6,Torah,תורה,torah
Bava Kamma 82a:6,Laws of Shabbat,הלכות שבת,laws-of-shabbat
Bava Kamma 82a:6-7,Laws of the Reading of the Torah,דיני קריאת התורה,laws-of-the-reading-of-the-torah
Bava Kamma 82a:9,Laws of Honoring and Delighting in Shabbat,הלכות כבוד שבת ועונג שבת,laws-of-honoring-and-delighting-in-shabbat
Bava Kamma 82a:10,Laws of Betrothal,הלכות נישואין,laws-of-betrothal
Bava Kamma 82a:11,Health,בריאות,health
Bava Kamma 82a:12,Financial Ramifications of Marriage,השלכות ממוניות של חיי הנישואין,financial-ramifications-of-marriage
Bava Kamma 82a:14-16,Laws of Immersion,דיני הטבילה,laws-of-immersion
Bava Kamma 82b:2,Laws of Mutual Obligations of Neighbors,דיני התחייבויות הדדיות בין שכנים,laws-of-mutual-obligations-of-neighbors
Bava Kamma 82b:3,Laws of Immersion,דיני הטבילה,laws-of-immersion
Bava Kamma 82b:3,Laws of the Recitation of Shema,דיני קריאת שמע,laws-of-the-recitation-of-shema
Bava Kamma 82b:4,Laws of Foreign Worship,הלכות עבודה זרה,laws-of-foreign-worship
Bava Kamma 82b:4,Laws of Eglah Arufah,דיני עגלה ערופה,laws-of-eglah-arufah
Bava Kamma 82b:4-5,Jerusalem,ירושלים,jerusalem
Bava Kamma 82b:4-5,Laws of Tsara'at of a House,דיני צרעת הבית,laws-of-tsaraat-of-a-house
Bava Kamma 82b:4-5,Laws of the Sanctity of the Temple,הלכות קדושת המקדש,laws-of-the-sanctity-of-the-temple
Bava Kamma 82b:17-18,Hasmoneans,חשמונאים,hasmoneans
Bava Kamma 82b:18,Laws of Damages from Animals,דיני נזקי הבהמה,laws-of-damages-from-animals
Bava Kamma 82b:19-83a:1,The Hebrew Language,עברית,the-hebrew-language
Bava Kamma 83a:2,Rabban Shimon b. Gamliel,רבן שמעון בן גמליאל (1),rabban-shimon-b-gamliel
Bava Kamma 83a:3,Laws of Dissociation from Idolatry and its Worshippers,הלכות היבדלות מעבודה זרה ומעובדיה,laws-of-dissociation-from-idolatry-and-its-worshippers
Bava Kamma 83a:4,Rabbinic Ordinances,תקנות,rabbinic-ordinances
Bava Kamma 83a:4-5,Laws of Damages from Animals,דיני נזקי הבהמה,laws-of-damages-from-animals
Bava Kamma 83a:9,Laws of Presumptions of Use and Removal of Hazards among Neighbors,דיני חזקת שימוש והרחקת נזקים בין שכנים,laws-of-presumptions-of-use-and-removal-of-hazards-among-neighbors
Bava Kamma 83a:9-11,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 83b:1-8,Injury Law,דיני חובל,injury-law
Bava Kamma 83b:6,Human Dignity,כבוד אנושי,human-dignity
Bava Kamma 83b:18,Laws of Intentional (Premeditated) Murder,דיני רוצח במזיד,laws-of-intentional-(premeditated)-murder
Bava Kamma 84a,Laws of Judges and Courts,הלכות בתי הדין והדיינים,laws-of-judges-and-courts
Bava Kamma 84a:4,Laws of Intentional (Premeditated) Murder,דיני רוצח במזיד,laws-of-intentional-(premeditated)-murder
Bava Kamma 84a:4,Laws of False Witnesses and Colluding Witnesses,דיני עדי שקר ועדים זוממים,laws-of-false-witnesses-and-colluding-witnesses
Bava Kamma 84a:10,Laws of Court Punishments,דיני עונשי בית הדין,laws-of-court-punishments
Bava Kamma 84a:23-84b:13,Laws of Judges and Courts,הלכות בתי הדין והדיינים,laws-of-judges-and-courts
Bava Kamma 85a:6-8,Injury Law,דיני חובל,injury-law
Bava Kamma 85a:15,Laws of Engagement of Workers,דיני שכירות פועלים,laws-of-engagement-of-workers
Bava Kamma 85a:19-86b:9,Injury Law,דיני חובל,injury-law
Bava Kamma 85a:20,Medicine,תרופה,medicine
Bava Kamma 86a:3,Respect and Awe of Parents and Insubordination to Them,הלכות כיבוד ומורא ההורים וההמראה בהם,respect-and-awe-of-parents-and-insubordination-to-them
Bava Kamma 86b:17,Laws of Accidental Killing,דיני רוצח בשוגג,laws-of-accidental-killing
Bava Kamma 87a:5-87b:4,Injury Law,דיני חובל,injury-law
Bava Kamma 87b:6,Laws of Canaanite Gentile Slaves,דיני עבד כנעני,laws-of-canaanite-gentile-slaves
Bava Kamma 87b:6,Laws of Hebrew Jewish Slaves,דיני עבד עברי,laws-of-hebrew-jewish-slaves
Bava Kamma 87b:13-14,Injury Law,דיני חובל,injury-law
Bava Kamma 88a,Laws of [Courts and] Judges,הלכות שופטים,laws-of-courts-and-judges
Bava Kamma 88a:2,Injury Law,דיני חובל,injury-law
Bava Kamma 88a:3,Laws of Those Forbidden to Marry into the Congregation,דיני האסורים בקהל,laws-of-those-forbidden-to-marry-into-the-congregation
Bava Kamma 88a:5,Laws of Kings,הלכות מלכים,laws-of-kings
Bava Kamma 88a:7-19,Laws of Those Disqualified from Testimony,דיני פסולי עדות,laws-of-those-disqualified-from-testimony
Bava Kamma 88b:1,Financial Ramifications of Marriage,השלכות ממוניות של חיי הנישואין,financial-ramifications-of-marriage
Bava Kamma 88b:2-9,Laws of Gifts from Someone Gravely Ill,דיני מתנת שכיב מרע,laws-of-gifts-from-someone-gravely-ill
Bava Kamma 89a:1,Laws of False Witnesses and Colluding Witnesses,דיני עדי שקר ועדים זוממים,laws-of-false-witnesses-and-colluding-witnesses
Bava Kamma 89a:4-5,Financial Ramifications of Marriage,השלכות ממוניות של חיי הנישואין,financial-ramifications-of-marriage
Bava Kamma 89a:8,Laws of Betrothal,הלכות נישואין,laws-of-betrothal
Bava Kamma 89a:8,Injury Law,דיני חובל,injury-law
Bava Kamma 89a:11,Debt Law,הלכות מלווה ולווה,debt-law
Bava Kamma 89a:11,Laws of the Methods of Acquisition,דיני דרכי הקניין,laws-of-the-methods-of-acquisition
Bava Kamma 89b:4-6,Injury Law,דיני חובל,injury-law
Bava Kamma 89b:10,Financial Ramifications of Marriage,השלכות ממוניות של חיי הנישואין,financial-ramifications-of-marriage
Bava Kamma 89b:10,Laws of Betrothal,הלכות נישואין,laws-of-betrothal
Bava Kamma 89b:11,Laws of Canaanite Gentile Slaves,דיני עבד כנעני,laws-of-canaanite-gentile-slaves
Bava Kamma 90a,Laws of Judges and Courts,הלכות בתי הדין והדיינים,laws-of-judges-and-courts
Bava Kamma 90a:1,Laws of Canaanite Gentile Slaves,דיני עבד כנעני,laws-of-canaanite-gentile-slaves
Bava Kamma 90a:1,Laws of Annulling Vows,דיני הפרת נדרים,laws-of-annulling-vows
Bava Kamma 90a:1,Laws of Debt Collection,דיני גביית החוב,laws-of-debt-collection
Bava Kamma 90a:1,Laws of Redemption of Sanctified Property,דיני פדיית ההקדש,laws-of-redemption-of-sanctified-property
Bava Kamma 90a:8,Laws of Intentional (Premeditated) Murder,דיני רוצח במזיד,laws-of-intentional-(premeditated)-murder
Bava Kamma 90a:10,Financial Ramifications of Marriage,השלכות ממוניות של חיי הנישואין,financial-ramifications-of-marriage
Bava Kamma 90a:11-12,Laws of Canaanite Gentile Slaves,דיני עבד כנעני,laws-of-canaanite-gentile-slaves
Bava Kamma 90a:13,Injury Law,דיני חובל,injury-law
Bava Kamma 90a:13-90b:5,Human Dignity,כבוד אנושי,human-dignity
Bava Kamma 90b:5,Injury Law,דיני חובל,injury-law
Bava Kamma 90b:9,Laws of Acceptance of Testimony,דיני קבלת העדות,laws-of-acceptance-of-testimony
Bava Kamma 90b:10-11,Laws of [Courts and] Judges,הלכות שופטים,laws-of-courts-and-judges
Bava Kamma 90b:11,Laws of Setting the Months and Leap Years,דיני קביעת החודשים ועיבור השנים,laws-of-setting-the-months-and-leap-years
Bava Kamma 90b:21-91a:4,Laws of an Ox that Kills a Person,דיני שור שהמית אדם,laws-of-an-ox-that-kills-a-person
Bava Kamma 91a:7,Laws of Intentional (Premeditated) Murder,דיני רוצח במזיד,laws-of-intentional-(premeditated)-murder
Bava Kamma 91a:11,Laws of Canaanite Gentile Slaves,דיני עבד כנעני,laws-of-canaanite-gentile-slaves
Bava Kamma 91a:12-22,Injury Law,דיני חובל,injury-law
Bava Kamma 91b:2-7,Oaths of Speech and Vain Oaths,דיני שבועת ביטוי ושבועת שווא,oaths-of-speech-and-vain-oaths
Bava Kamma 91b:7,Injury Law,דיני חובל,injury-law
Bava Kamma 91b:10,Tearing,קריעה,tearing
Bava Kamma 91b:11,Rav Chisda,רב חסדא,rav-chisda
Bava Kamma 91b:13-16,Laws of Property Damage,דיני מזיק ממון,laws-of-property-damage
Bava Kamma 91b:17-92a:3,Laws of Wars,הלכות מלחמות,laws-of-wars
Bava Kamma 91b:19,Rabbi Chanina b. Chama,רבי חנינא בר חמא,rabbi-chanina-b-chama
Bava Kamma 92a:2,Shmuel (Amora),שמואל (שם אמורא),shmuel-(amora)
Bava Kamma 92a:3,Rav Chisda,רב חסדא,rav-chisda
Bava Kamma 92a:4,Laws of the Calendar,דיני הלוח העברי,laws-of-the-calendar
Bava Kamma 92a:4,Laws of Repentance,הלכות תשובה,laws-of-repentance
Bava Kamma 92a:4,Commandments Concerning Demeanor,מצוות הנוגעות להתנהגות,commandments-concerning-demeanor
Bava Kamma 92a:4-6,Injury Law,דיני חובל,injury-law
Bava Kamma 92a:10,The Seven Noahide Laws,שבע מצוות בני נח,the-seven-noahide-laws
Bava Kamma 92a:15,Prayer,תפילה,prayer
Bava Kamma 92a:15,Nature of Man and his Character Traits,טבע האדם ומדותיו,nature-of-man-and-his-character-traits
Bava Kamma 92a:24,Dinei Bikkurim,דיני ביכורים,dinei-bikkurim
Bava Kamma 92b,Laws of [Courts and] Judges,הלכות שופטים,laws-of-courts-and-judges
Bava Kamma 92b:2,Laws of Prayer,הלכות תפילה,laws-of-prayer
Bava Kamma 92b:3-4,Health,בריאות,health
Bava Kamma 92b:12-13,Friendship,חברות,friendship
Bava Kamma 92b:13,Birds,ציפורים,birds
Bava Kamma 92b:15,Nature of Man and his Character Traits,טבע האדם ומדותיו,nature-of-man-and-his-character-traits
Bava Kamma 92b:16,Friendship,חברות,friendship
Bava Kamma 93a:3,Nature of Man and his Character Traits,טבע האדם ומדותיו,nature-of-man-and-his-character-traits
Bava Kamma 93a:3-14,Injury Law,דיני חובל,injury-law
Bava Kamma 93a:6,Afflictions,יסורין,afflictions
Bava Kamma 93a:6,Proper Moral and Hygienic Conduct,ההתנהגות הראויה בדעות ובבריאות,proper-moral-and-hygienic-conduct
Bava Kamma 93a:14-19,Laws of Voluntary Guardians,דיני שומר חינם,laws-of-voluntary-guardians
Bava Kamma 93a:17,Injury Law,דיני חובל,injury-law
Bava Kamma 93b:1-9,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 93b:3,Laws of Theft,הלכות גניבה,laws-of-theft
Bava Kamma 93b:10,Additional Gifts to the Priesthood,מתנות כהונה נוספות,additional-gifts-to-the-priesthood
Bava Kamma 93b:12,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 94a:5,General Laws of Blessings,כללי ברכות,general-laws-of-blessings
Bava Kamma 94a:5,"Theft, Robbery and Murder","גְּנֵבָה, גְּזֵלָה וּשְׁפִיכוּת דָּמִים",theft-robbery-and-murder
Bava Kamma 94a:7-8,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 94a:9-10,Laws of Agricultural Gifts to the Poor,הלכות מתנות עניים שבשדה,laws-of-agricultural-gifts-to-the-poor
Bava Kamma 94b:2-5,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 94b:5,Laws of Interest on Loans and in Commerce,דיני ריבית בהלוואה ובמסחר,laws-of-interest-on-loans-and-in-commerce
Bava Kamma 94b:6,Teshuvah,תשובה,teshuvah
Bava Kamma 95a:14,Financial Ramifications of Marriage,השלכות ממוניות של חיי הנישואין,financial-ramifications-of-marriage
Bava Kamma 95a:14,Laws of Debt Collection,דיני גביית החוב,laws-of-debt-collection
Bava Kamma 95a:14-95b:10,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 95b:13,Order of Inheritance,סדר הירושה,order-of-inheritance
Bava Kamma 95b:14-96a:3,Laws of Debt Collection,דיני גביית החוב,laws-of-debt-collection
Bava Kamma 96a:4-11,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 96b,Laws of Judges and Courts,הלכות בתי הדין והדיינים,laws-of-judges-and-courts
Bava Kamma 96b,Procedures for Judges and Conduct towards Them,הנחיות לדיינים והיחס אליהם,procedures-for-judges-and-conduct-towards-them
Bava Kamma 96b:1-14,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 96b:2,Laws of the Four Species,דיני ארבעת המינים,laws-of-the-four-species
Bava Kamma 96b:18-19,Laws of the Methods of Acquisition,דיני דרכי הקניין,laws-of-the-methods-of-acquisition
Bava Kamma 96b:18-20,Stipulations of a Purchased Acquisition,גדרי המקח הנקנה,stipulations-of-a-purchased-acquisition
Bava Kamma 96b:19-20,Laws of Litigant Oaths,דיני שבועות בעלי הדין,laws-of-litigant-oaths
Bava Kamma 96b:20,Laws of Oaths over Deposits,דיני שבועת הפיקדון,laws-of-oaths-over-deposits
Bava Kamma 96b:20,Laws of Guardianship,דיני שומרים,laws-of-guardianship
Bava Kamma 97a:1,Rava,רבא,rava
Bava Kamma 97a:1-4,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 97a:5,Workers,פועל,workers
Bava Kamma 97a:7,Laws of Interest on Loans and in Commerce,דיני ריבית בהלוואה ובמסחר,laws-of-interest-on-loans-and-in-commerce
Bava Kamma 97a:9-11,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 97b:1,Laws of Interest on Loans and in Commerce,דיני ריבית בהלוואה ובמסחר,laws-of-interest-on-loans-and-in-commerce
Bava Kamma 97b:2-5,Dinei Ma'aser Sheni,דיני מעשר שני,dinei-maaser-sheni
Bava Kamma 97b:8,Abraham,אברהם,abraham
Bava Kamma 97b:9-98a:2,Laws of Interest on Loans and in Commerce,דיני ריבית בהלוואה ובמסחר,laws-of-interest-on-loans-and-in-commerce
Bava Kamma 98a:3,Laws of Property Damage,דיני מזיק ממון,laws-of-property-damage
Bava Kamma 98a:4,Dinei Ma'aser Sheni,דיני מעשר שני,dinei-maaser-sheni
Bava Kamma 98a:5-11,Laws of Property Damage,דיני מזיק ממון,laws-of-property-damage
Bava Kamma 98b,Laws of [Courts and] Judges,הלכות שופטים,laws-of-courts-and-judges
Bava Kamma 98b:1,Laws of Property Damage,דיני מזיק ממון,laws-of-property-damage
Bava Kamma 98b:4,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 98b:5,Laws of Property Damage,דיני מזיק ממון,laws-of-property-damage
Bava Kamma 98b:14,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 98b:15,Laws of Property Damage,דיני מזיק ממון,laws-of-property-damage
Bava Kamma 98b:15-99a:9,Laws of Engagement of Workers,דיני שכירות פועלים,laws-of-engagement-of-workers
Bava Kamma 99a:11-13,Hilchot Kiddushin,הלכות קידושין,hilchot-kiddushin
Bava Kamma 99a:14,Laws of Engagement of Workers,דיני שכירות פועלים,laws-of-engagement-of-workers
Bava Kamma 99b,Procedures for Judges and Conduct towards Them,הנחיות לדיינים והיחס אליהם,procedures-for-judges-and-conduct-towards-them
Bava Kamma 99b:2-4,Hilchot Kiddushin,הלכות קידושין,hilchot-kiddushin
Bava Kamma 99b:8-18,Laws of Engagement of Workers,דיני שכירות פועלים,laws-of-engagement-of-workers
Bava Kamma 99b:20,Procedures for Judges and Conduct towards Them,הנחיות לדיינים והיחס אליהם,procedures-for-judges-and-conduct-towards-them
Bava Kamma 99b:22-23,Laws of Engagement of Workers,דיני שכירות פועלים,laws-of-engagement-of-workers
Bava Kamma 100a,Laws of Judges and Courts,הלכות בתי הדין והדיינים,laws-of-judges-and-courts
Bava Kamma 100a,Procedures for Judges and Conduct towards Them,הנחיות לדיינים והיחס אליהם,procedures-for-judges-and-conduct-towards-them
Bava Kamma 100a:2,Laws of Engagement of Workers,דיני שכירות פועלים,laws-of-engagement-of-workers
Bava Kamma 100a:3,Laws of Property Damage,דיני מזיק ממון,laws-of-property-damage
Bava Kamma 100a:5-6,Laws of Judges and Courts,הלכות בתי הדין והדיינים,laws-of-judges-and-courts
Bava Kamma 100a:9,Laws of Forbidden Mixtures of Vineyards,הלכות כלאי הכרם,laws-of-forbidden-mixtures-of-vineyards
Bava Kamma 100b:2-101a:3,Laws of Engagement of Workers,דיני שכירות פועלים,laws-of-engagement-of-workers
Bava Kamma 101a:4-9,Laws of Robbery,דיני גזלה,laws-of-robbery
Bava Kamma 101a:12,General Laws of Food,דיני מזון כלליים,general-laws-of-food
